good proteins:
    name #_res_out #_res_pdb
    1jb0.pdb 2232 2232
    1kpl.pdb 880 880
    1kqf.pdb 4450 4450
    1lgh.pdb 777 777
    1nkz.pdb 819 819
    1okc.pdb 292 292
    1p49.pdb 548 548
    1ppj.pdb 3961 3961
    1pw4.pdb 431 431
    1u19.pdb 347 347
    1u7g.pdb 1147 1147
    1xio.pdb 217 217
    2a65.pdb 1018 1018
    2b2h.pdb 1173 1173
    2bhw.pdb 667 667
    2bl2.pdb 1551 1551
    2bs2.pdb 2296 2296
    2cfq.pdb 408 408
    2f2b.pdb 977 977
    2gfp.pdb 375 375
    2h88.pdb 1088 1088
    2h8a.pdb 361 361
    2hyd.pdb 1155 1155
    2ih3.pdb 2104 2104
    2jln.pdb 463 463
    2nq2.pdb 1102 1102
    2nr9.pdb 192 192
    2o9g.pdb 932 932
    2q7r.pdb 434 434
    2qi9.pdb 1384 1384
    2qts.pdb 1253 1253
    2r9r.pdb 2844 2844
    2vpz.pdb 2354 2354
    2wcd.pdb 3409 3409
    2wll.pdb 1059 1059
    2wsw.pdb 1524 1524
    2xov.pdb 181 181
    2xqu.pdb 1215 1215
    2yev.pdb 1161 1161
    2z73.pdb 694 694
    2zxe.pdb 1294 1294
    3ar4.pdb 994 994
    3ayf.pdb 754 754
    3b4r.pdb 216 216
    3b9w.pdb 1086 1086
    3beh.pdb 892 892
    3c02.pdb 968 968
    3cn5.pdb 948 948
    3d31.pdb 1189 1189
    3ddl.pdb 252 252
    3dh4.pdb 1022 1022
    3egw.pdb 3952 3952
    3gd8.pdb 892 892
    3gia.pdb 433 433
    3h90.pdb 565 565
    3hd6.pdb 1209 1209
    3hzq.pdb 373 373
    3j7q.pdb 6869 6869
    3jqo.pdb 4822 4822
    3k3f.pdb 996 996
    3kly.pdb 1275 1275
    3ldc.pdb 328 328
    3m73.pdb 939 939
    3mp7.pdb 440 440
    3nd0.pdb 849 849
    3ne5.pdb 5022 5022
    3o7q.pdb 414 414
    3org.pdb 1068 1068
    3ouf.pdb 372 372
    3p5n.pdb 168 168
    3pcv.pdb 438 438
    3pjz.pdb 935 935
    3qap.pdb 219 219
    3qnq.pdb 863 863
    3rko.pdb 1951 1951
    3rlf.pdb 1887 1887
    3rqw.pdb 1535 1535
    3s0x.pdb 205 205
    3s8g.pdb 749 749
    3tds.pdb 1289 1289
    3tx3.pdb 227 227
    3udc.pdb 1863 1863
    3ug9.pdb 560 560
    3ukm.pdb 504 504
    3w4t.pdb 446 446
    3waj.pdb 793 793
    3wdo.pdb 453 453
    3wo6.pdb 212 212
